impl,payloadType,workload,Score,Error,impl,payloadType,workload,Score,Error,impl,payloadType,workload,Score,Error
JDK_LINKEDHASH,STRING_UNIFORM,POPULATE,22937.466,72.775,SQUID_INDEXED,STRING_UNIFORM,POPULATE,41950.72,93.54,JDKGDXDS_INDEXED,STRING_UNIFORM,POPULATE,47778.357,121.563
JDK_LINKEDHASH,STRING_UNIFORM,ITERATE,4572.656,7.445,SQUID_INDEXED,STRING_UNIFORM,ITERATE,5855.532,5.143,JDKGDXDS_INDEXED,STRING_UNIFORM,ITERATE,4435.424,3.316
JDK_LINKEDHASH,STRING_UNIFORM,COPY,27817.819,83.448,SQUID_INDEXED,STRING_UNIFORM,COPY,12662.041,62.245,JDKGDXDS_INDEXED,STRING_UNIFORM,COPY,13569.709,58.161
JDK_LINKEDHASH,STRING_UNIFORM,CONTAINS,45.172,1.294,SQUID_INDEXED,STRING_UNIFORM,CONTAINS,47.76,1.37,JDKGDXDS_INDEXED,STRING_UNIFORM,CONTAINS,46.83,0.674
JDK_LINKEDHASH,INTEGER_UNIFORM,POPULATE,23037.579,68.975,SQUID_INDEXED,INTEGER_UNIFORM,POPULATE,14627.02,74.251,JDKGDXDS_INDEXED,INTEGER_UNIFORM,POPULATE,17295.38,48.437
JDK_LINKEDHASH,INTEGER_UNIFORM,ITERATE,4574.606,8.234,SQUID_INDEXED,INTEGER_UNIFORM,ITERATE,5834.501,5.173,JDKGDXDS_INDEXED,INTEGER_UNIFORM,ITERATE,4482.18,6.85
JDK_LINKEDHASH,INTEGER_UNIFORM,COPY,25739.474,76.594,SQUID_INDEXED,INTEGER_UNIFORM,COPY,7861.396,32.334,JDKGDXDS_INDEXED,INTEGER_UNIFORM,COPY,8303.061,34.364
JDK_LINKEDHASH,INTEGER_UNIFORM,CONTAINS,46.601,1.635,SQUID_INDEXED,INTEGER_UNIFORM,CONTAINS,38.198,0.913,JDKGDXDS_INDEXED,INTEGER_UNIFORM,CONTAINS,40.065,1.119
JDK_LINKEDHASH,STRING_DICTIONARY,POPULATE,24174.518,81.639,SQUID_INDEXED,STRING_DICTIONARY,POPULATE,25738.269,71.449,JDKGDXDS_INDEXED,STRING_DICTIONARY,POPULATE,25947.085,71.95
JDK_LINKEDHASH,STRING_DICTIONARY,ITERATE,4612.447,5.253,SQUID_INDEXED,STRING_DICTIONARY,ITERATE,5776.046,4.157,JDKGDXDS_INDEXED,STRING_DICTIONARY,ITERATE,4413.249,5.922
JDK_LINKEDHASH,STRING_DICTIONARY,COPY,28669.276,85.279,SQUID_INDEXED,STRING_DICTIONARY,COPY,12644.32,67.147,JDKGDXDS_INDEXED,STRING_DICTIONARY,COPY,12368.01,55.742
JDK_LINKEDHASH,STRING_DICTIONARY,CONTAINS,44.716,1.151,SQUID_INDEXED,STRING_DICTIONARY,CONTAINS,47.469,0.703,JDKGDXDS_INDEXED,STRING_DICTIONARY,CONTAINS,48.085,1.441
JDK_LINKEDHASH,VECTOR2_UNIFORM,POPULATE,28429.246,84.357,SQUID_INDEXED,VECTOR2_UNIFORM,POPULATE,444739.868,504.881,JDKGDXDS_INDEXED,VECTOR2_UNIFORM,POPULATE,33122.368,80.272
JDK_LINKEDHASH,VECTOR2_UNIFORM,ITERATE,4586.96,5.966,SQUID_INDEXED,VECTOR2_UNIFORM,ITERATE,5770.505,11.802,JDKGDXDS_INDEXED,VECTOR2_UNIFORM,ITERATE,4734.352,7.78
JDK_LINKEDHASH,VECTOR2_UNIFORM,COPY,30428.706,89.716,SQUID_INDEXED,VECTOR2_UNIFORM,COPY,170097.562,164.454,JDKGDXDS_INDEXED,VECTOR2_UNIFORM,COPY,11136.022,46.023
JDK_LINKEDHASH,VECTOR2_UNIFORM,CONTAINS,46.455,1.458,SQUID_INDEXED,VECTOR2_UNIFORM,CONTAINS,239.025,1.539,JDKGDXDS_INDEXED,VECTOR2_UNIFORM,CONTAINS,43.633,1.267
