impl,payloadType,workload,Score,Error,impl,payloadType,workload,Score,Error,impl,payloadType,workload,Score,Error,impl,payloadType,workload,Score,Error
JDK_HASH,STRING_UNIFORM,POPULATE,20606.944,75.85,SQUID_HASH,STRING_UNIFORM,POPULATE,38841.782,92.614,JDKGDXDS_HASH,STRING_UNIFORM,POPULATE,38696.928,280.769,FASTUTIL_HASH,STRING_UNIFORM,POPULATE,38043.068,77.718
JDK_HASH,STRING_UNIFORM,ITERATE,8769.338,13.562,SQUID_HASH,STRING_UNIFORM,ITERATE,4794.441,7.233,JDKGDXDS_HASH,STRING_UNIFORM,ITERATE,4534.097,7.643,FASTUTIL_HASH,STRING_UNIFORM,ITERATE,4864.329,6.747
JDK_HASH,STRING_UNIFORM,COPY,35872.376,126.961,SQUID_HASH,STRING_UNIFORM,COPY,12057.906,53.873,JDKGDXDS_HASH,STRING_UNIFORM,COPY,10262.434,43.678,FASTUTIL_HASH,STRING_UNIFORM,COPY,11018.417,90.442
JDK_HASH,STRING_UNIFORM,CONTAINS,45.173,1.39,SQUID_HASH,STRING_UNIFORM,CONTAINS,44.446,1.158,JDKGDXDS_HASH,STRING_UNIFORM,CONTAINS,48.512,1.215,FASTUTIL_HASH,STRING_UNIFORM,CONTAINS,48.289,1.276
JDK_HASH,INTEGER_UNIFORM,POPULATE,22352.369,79.018,SQUID_HASH,INTEGER_UNIFORM,POPULATE,14580.468,76.962,JDKGDXDS_HASH,INTEGER_UNIFORM,POPULATE,14346.094,68.366,FASTUTIL_HASH,INTEGER_UNIFORM,POPULATE,14294.26,62.154
JDK_HASH,INTEGER_UNIFORM,ITERATE,8640.892,6.963,SQUID_HASH,INTEGER_UNIFORM,ITERATE,4679.605,3.581,JDKGDXDS_HASH,INTEGER_UNIFORM,ITERATE,4677.738,10.607,FASTUTIL_HASH,INTEGER_UNIFORM,ITERATE,4885.281,7.194
JDK_HASH,INTEGER_UNIFORM,COPY,34172.434,122.707,SQUID_HASH,INTEGER_UNIFORM,COPY,7177.528,59.038,JDKGDXDS_HASH,INTEGER_UNIFORM,COPY,6777.737,39.588,FASTUTIL_HASH,INTEGER_UNIFORM,COPY,6631.3,50.579
JDK_HASH,INTEGER_UNIFORM,CONTAINS,42.818,1.209,SQUID_HASH,INTEGER_UNIFORM,CONTAINS,36.455,0.873,JDKGDXDS_HASH,INTEGER_UNIFORM,CONTAINS,39.361,0.936,FASTUTIL_HASH,INTEGER_UNIFORM,CONTAINS,38.335,0.931
JDK_HASH,STRING_DICTIONARY,POPULATE,24989.791,103.659,SQUID_HASH,STRING_DICTIONARY,POPULATE,27230.268,73.75,JDKGDXDS_HASH,STRING_DICTIONARY,POPULATE,22114.975,49.388,FASTUTIL_HASH,STRING_DICTIONARY,POPULATE,26848.64,61.25
JDK_HASH,STRING_DICTIONARY,ITERATE,8868.446,11.483,SQUID_HASH,STRING_DICTIONARY,ITERATE,4664.37,5.75,JDKGDXDS_HASH,STRING_DICTIONARY,ITERATE,4628.539,7.963,FASTUTIL_HASH,STRING_DICTIONARY,ITERATE,4775.41,3.578
JDK_HASH,STRING_DICTIONARY,COPY,37303.122,139.762,SQUID_HASH,STRING_DICTIONARY,COPY,9924.743,36.508,JDKGDXDS_HASH,STRING_DICTIONARY,COPY,10491.167,38.221,FASTUTIL_HASH,STRING_DICTIONARY,COPY,11062.621,38.155
JDK_HASH,STRING_DICTIONARY,CONTAINS,42.314,0.427,SQUID_HASH,STRING_DICTIONARY,CONTAINS,45.789,1.287,JDKGDXDS_HASH,STRING_DICTIONARY,CONTAINS,46.915,1.318,FASTUTIL_HASH,STRING_DICTIONARY,CONTAINS,45.966,0.841
JDK_HASH,VECTOR2_UNIFORM,POPULATE,26605.17,88.207,SQUID_HASH,VECTOR2_UNIFORM,POPULATE,418959.014,476.675,JDKGDXDS_HASH,VECTOR2_UNIFORM,POPULATE,29748.039,62.085,FASTUTIL_HASH,VECTOR2_UNIFORM,POPULATE,30545.647,66.158
JDK_HASH,VECTOR2_UNIFORM,ITERATE,8766.894,8.095,SQUID_HASH,VECTOR2_UNIFORM,ITERATE,5355.587,4.468,JDKGDXDS_HASH,VECTOR2_UNIFORM,ITERATE,4746.764,7.823,FASTUTIL_HASH,VECTOR2_UNIFORM,ITERATE,5023.097,3.954
JDK_HASH,VECTOR2_UNIFORM,COPY,36226.111,118.078,SQUID_HASH,VECTOR2_UNIFORM,COPY,153497.542,158.976,JDKGDXDS_HASH,VECTOR2_UNIFORM,COPY,10474.718,35.328,FASTUTIL_HASH,VECTOR2_UNIFORM,COPY,10397.408,33.508
JDK_HASH,VECTOR2_UNIFORM,CONTAINS,43.825,0.794,SQUID_HASH,VECTOR2_UNIFORM,CONTAINS,234.732,1.553,JDKGDXDS_HASH,VECTOR2_UNIFORM,CONTAINS,42.121,1.183,FASTUTIL_HASH,VECTOR2_UNIFORM,CONTAINS,43.055,1.312
